id,name,category,quality,description,count,is_base,is_material,socket_count,props,pack_probability,icon_path
bandit_camp,盗匪营地,site,EPIC,提高人形敌人、战利品和战斗事件出现概率。,1,FALSE,TRUE,0,营地:2;战利品:3;风险:3,12,
cave,洞穴,site,RARE,生成洞穴入口倾向，提高矿物和巢穴风险。,2,FALSE,TRUE,0,洞穴:2;矿物:1;风险:2,35,
mine,矿坑,site,RARE,生成矿坑或地下入口倾向，提高矿物收益并增加遭遇风险。,2,FALSE,TRUE,0,矿区:2;风险:2;矿物:2,35,
radio_tower,广播塔,site,EPIC,提高信号事件、线索收益和主线异常触发概率。,1,FALSE,TRUE,0,信号:3;线索:2;风险:2,12,
ruined_cabin,废弃木屋,site,COMMON,提高废弃建筑、容器和基础补给出现概率。,3,FALSE,TRUE,0,建筑:1;补给:2;风险:1,100,
dead_tree,枯树,plant,COMMON,提高枯木、干燥地貌和可燃资源出现概率。,3,FALSE,TRUE,0,枯木:2;干燥:1;火风险:1,100,
hardwood,硬木,plant,RARE,提高高品质木材和坚硬树种出现概率。,2,FALSE,TRUE,0,木材:3;耐久:1,35,
mushroom,蘑菇,plant,COMMON,提高菌类资源和潮湿腐植环境出现概率。,4,FALSE,TRUE,0,菌类:1;食物:1;潮湿:1,100,
tree,树木,plant,COMMON,提高树木、林地和木材资源出现概率。,5,FALSE,TRUE,0,森林:1;木材:2,100,
clay,黏土,mineral,COMMON,提高湿润土层、陶土和建造材料出现概率。,3,FALSE,TRUE,0,黏土:2;建材:1;潮湿:1,100,
coal_ore,煤矿,mineral,COMMON,提高煤炭、燃料和黑尘地貌出现概率。,3,FALSE,TRUE,0,燃料:2;矿物:1,100,
copper_ore,铜矿石,mineral,COMMON,提高铜矿节点、线缆材料和导电异常事件概率。,3,FALSE,TRUE,0,铜:2;导电:1,100,
crystal,水晶簇,mineral,EPIC,提高异常矿物、能量反应和稀有合成材料出现概率。,1,FALSE,TRUE,0,水晶:3;异常:2;价值:2,12,
gold_ore,金矿石,mineral,EPIC,提高高价值矿点和争夺风险。,1,FALSE,TRUE,0,黄金:3;价值:3;风险:2,12,
iron_ore,铁矿石,mineral,COMMON,提高铁矿节点和金属材料收益。,3,FALSE,TRUE,0,铁:2;矿物:1,100,
salt,盐岩,mineral,RARE,提高盐岩、保存食物和干燥地貌出现概率。,2,FALSE,TRUE,0,盐:2;保存:1;干燥:1,35,
silver_ore,银矿石,mineral,RARE,提高稀有金属和高价值矿点出现概率。,2,FALSE,TRUE,0,银:2;价值:2;矿物:1,35,
apple,苹果,food,COMMON,提高苹果树、可食用果实和安全食物收益。,4,FALSE,TRUE,0,食物:2;安全:1,100,
berry_bush,浆果丛,food,COMMON,提高浆果、灌木和低风险采集点出现概率。,4,FALSE,TRUE,0,食物:2;灌木:1,100,
corn,玉米,food,COMMON,提高农田、谷物和稳定食物来源出现概率。,4,FALSE,TRUE,0,食物:2;农田:1,100,
honeycomb,蜂巢,food,RARE,提高蜂蜜收益，同时引入蜂群威胁。,2,FALSE,TRUE,0,食物:2;蜂群:2;风险:1,35,
pineapple,菠萝,food,RARE,提高热带果实和高价值食物点出现概率。,2,FALSE,TRUE,0,食物:3;热带:1,35,
potato,土豆,food,COMMON,提高根茎作物和耐储存食物出现概率。,4,FALSE,TRUE,0,食物:2;储存:1,100,
pumpkin,南瓜,food,RARE,提高大型作物和高饱食度食物出现概率。,2,FALSE,TRUE,0,食物:3;农田:1,35,
watermelon,西瓜,food,COMMON,提高大型果实、水分补给和低风险食物点出现概率。,3,FALSE,TRUE,0,食物:2;水分:2,100,
wheat,小麦,food,COMMON,提高农作物、谷物和可持续食物来源出现概率。,4,FALSE,TRUE,0,食物:2;农田:1,100,
bat,蝙蝠,creature,COMMON,提高洞穴生物和夜间骚扰事件概率。,3,FALSE,TRUE,0,洞穴:1;夜行:1;风险:1,100,
bear,熊,creature,EPIC,提高大型猛兽和高价值掉落，同时显著增加战斗压力。,1,FALSE,TRUE,0,大型野兽:3;风险:3;皮毛:2,12,
bison,野牛,creature,EPIC,提高大型兽群、肉类和皮革收益，但显著增加遭遇压力。,1,FALSE,TRUE,0,大型野兽:3;食物:3;风险:3,12,
boar,野猪,creature,RARE,提高冲撞型野兽和肉类收益，同时增加近战风险。,2,FALSE,TRUE,0,野兽:2;食物:2;风险:2,35,
deer,鹿,creature,COMMON,提高温和动物、肉类和皮革收益。,3,FALSE,TRUE,0,动物:1;食物:2;皮革:1,100,
fish,鱼群,creature,COMMON,提高水产食物和河流/池塘资源收益。,3,FALSE,TRUE,0,鱼类:2;食物:1;水域:1,100,
fox,狐狸,creature,RARE,提高敏捷野兽和偷袭事件概率。,2,FALSE,TRUE,0,野兽:1;敏捷:2;风险:1,35,
frog,青蛙,creature,COMMON,提高湿地小动物和潮湿生态出现概率。,3,FALSE,TRUE,0,动物:1;潮湿:1;食物:1,100,
rabbit,兔子,creature,COMMON,提高小型动物、肉类和低风险狩猎点出现概率。,3,FALSE,TRUE,0,动物:1;食物:1,100,
snake,蛇,creature,RARE,提高毒性动物和草丛伏击概率。,2,FALSE,TRUE,0,毒性:2;伏击:1;风险:2,35,
spider,蜘蛛,creature,RARE,提高蛛网、毒性威胁和洞穴生态出现概率。,2,FALSE,TRUE,0,虫群:2;毒性:2;风险:2,35,
wolf,野狼,creature,RARE,提高狼群、追踪型敌人和皮毛掉落概率。,2,FALSE,TRUE,0,野兽:2;风险:2;皮毛:1,35,
blight_core,腐化核心,hazard,EPIC,提高腐化区域、稀有材料和长期负面影响概率。,1,FALSE,TRUE,0,腐化:3;异常:2;风险:3,12,
storm_cloud,暴风云,hazard,RARE,提高强风、雷雨和不稳定天气出现概率。,2,FALSE,TRUE,0,天气:2;雷电:1;风险:2,35,
toxic_spore,毒孢子,hazard,RARE,提高毒雾、异常植物和持续伤害区域出现概率。,2,FALSE,TRUE,0,毒性:3;风险:2,35,
